ZIP,LAT,LONG
2534,41.669004,-70.61528
2535,41.337961,-70.761674
2536,41.596295,-70.567471
2537,41.728421,-70.43581
2538,41.777378,-70.642447
2539,41.377655,-70.52208
2540,41.569466,-70.627202
2542,41.707839,-70.54552
2543,41.472422,-70.785049
2553,41.713138,-70.622283
2554,41.290114,-70.096294
2556,41.639447,-70.624515
2557,41.446403,-70.561761
2558,41.746275,-70.651689
2559,41.690243,-70.616283
2561,41.767811,-70.532854
2562,41.787984,-70.527592
2563,41.751133,-70.502518
2564,41.271898,-69.984545
2568,41.449404,-70.61636
2571,41.75143,-70.699352
2575,41.394406,-70.656447
2576,41.772221,-70.762948
2584,41.257578,-70.005294
2601,41.661161,-70.293197
2630,41.706756,-70.312489
2631,41.747513,-70.066223
2632,41.659097,-70.346877
2633,41.687361,-69.98016
2635,41.624054,-70.439397
2637,41.705726,-70.270928
2638,41.730245,-70.197392
2639,41.668067,-70.136979
2641,41.753951,-70.155393
2642,41.8416,-69.974973
2643,41.75354,-69.934661
2644,41.683488,-70.510786
2645,41.701286,-70.061663
2646,41.670596,-70.071449
2647,41.630127,-70.310144
2648,41.670375,-70.412035
2649,41.617623,-70.492713
2650,41.701947,-69.961453
2652,42.049534,-70.094987
2653,41.769125,-69.97358
2655,41.627984,-70.392013
2657,42.059829,-70.200407
2659,41.681474,-70.023529
2660,41.708526,-70.156582
2663,41.89754,-69.969907
2664,41.674776,-70.194279
2666,41.985387,-70.037739
2667,41.923389,-70.021044
2668,41.714328,-70.356
2670,41.660103,-70.170681
2671,41.670336,-70.111068
2672,41.6357,-70.313634
2673,41.652948,-70.247383
2675,41.70395,-70.231552
2702,41.785113,-71.059047
2703,41.931653,-71.294503
2713,41.427083,-70.885662
2715,41.805594,-71.157707
2717,41.758629,-70.987625
2718,41.862486,-71.01169
2719,41.633667,-70.871362
2720,41.727137,-71.109858
2721,41.674429,-71.148532
2723,41.692208,-71.132132
2724,41.683068,-71.177888
2725,41.720043,-71.188272
2726,41.7597,-71.144592
2738,41.706162,-70.750164
2739,41.665644,-70.815876
2740,41.638171,-70.938398
2743,41.709599,-70.898111
2744,41.606252,-70.913632
2745,41.702696,-70.947057
2746,41.663913,-70.94757
