concept_id,condition_count,patient_count
35798297,20,20
35798298,20,20
35798299,20,20
35798301,20,20
35798302,20,20
35798304,20,20
35798308,20,20
35798309,20,20
35798310,20,20
35798311,20,20
35798312,20,20
35798313,20,20
35798314,20,20
35798315,20,20
35798316,20,20
35798317,20,20
35798324,20,20
35798325,20,20
35798326,20,20
35798327,20,20
35798328,20,20
35798329,20,20
35798330,20,20
35798331,20,20
35798332,20,20
35798333,20,20
35798334,20,20
35798340,20,20
35798341,20,20
35798342,20,20
35798343,20,20
35798344,20,20
35798345,20,20
35798346,20,20
35798347,20,20
35798348,20,20
35798349,20,20
35798350,20,20
35798351,20,20
35798353,20,20
35798354,20,20
35798355,20,20
35798357,20,20
35798358,20,20
35798359,20,20
35798361,20,20
35798362,20,20
35798363,20,20
35798364,20,20
35798365,20,20
35798368,20,20
35798369,20,20
35798371,20,20
35798372,20,20
35798373,20,20
35798375,20,20
35798376,20,20
35798377,20,20
35798378,20,20
35798379,20,20
35798381,20,20
35798401,20,20
35798402,20,20
35798403,20,20
35798404,20,20
35798405,20,20
35798406,20,20
35798407,20,20
35798408,20,20
35798409,20,20
35798410,20,20
35798411,20,20
35798412,20,20
35798413,20,20
35798414,20,20
35798415,20,20
35798416,20,20
35798417,20,20
35798418,20,20
35798419,20,20
35798420,20,20
35798421,20,20
35798422,20,20
35798423,20,20
35798424,20,20
35798425,20,20
35798426,20,20
35798427,20,20
35798429,20,20
35798431,20,20
35798432,20,20
35798433,20,20
35798434,20,20
35798435,20,20
35798436,20,20
35798437,20,20
35798438,20,20
35798439,20,20
35798440,20,20
35798441,20,20
35798442,20,20
35798443,20,20
35798444,20,20
35798445,20,20
35798446,20,20
35798447,20,20
35798448,20,20
35798450,20,20
35798451,20,20
35798452,20,20
35798453,20,20
35798454,20,20
35798455,20,20
35798456,20,20
35798457,20,20
35798458,20,20
35798459,20,20
35798460,20,20
35798461,20,20
35798462,20,20
35798463,20,20
35798464,20,20
35798466,20,20
35798467,20,20
35798468,20,20
35798470,20,20
35798471,20,20
35798472,20,20
35798473,20,20
35798474,20,20
35798475,20,20
35798476,20,20
35798477,20,20
35798485,20,20
35798486,20,20
35798488,20,20
35798489,20,20
35798492,20,20
35798493,20,20
35798496,20,20
35798497,20,20
35798498,20,20
35798499,20,20
35798501,20,20
35798507,20,20
35798511,20,20
35798512,20,20
35798513,20,20
35798514,20,20
35798515,20,20
35798518,20,20
35798519,20,20
35798521,20,20
35798522,20,20
35798523,20,20
35798534,20,20
35798535,20,20
35798540,20,20
35798541,20,20
35798542,20,20
35798548,20,20
35798549,20,20
35798550,20,20
35798551,20,20
35798559,20,20
35798561,20,20
35798576,20,20
35798578,20,20
35798579,20,20
35798580,20,20
35798587,20,20
35798588,20,20
35798589,20,20
35798590,20,20
35798593,20,20
35798594,20,20
35798599,20,20
35798600,20,20
35798601,20,20
35798602,20,20
35798603,20,20
35798604,20,20
35798606,20,20
35798608,20,20
35798609,20,20
35798610,20,20
35798611,20,20
35798612,20,20
35798614,20,20
35798615,20,20
35798616,20,20
35798621,20,20
35798622,20,20
35798623,20,20
35798624,20,20
35798625,20,20
35827925,20,20
35827926,20,20
35827927,20,20
35827929,20,20
35827930,20,20
35827931,20,20
35827932,20,20
35827933,20,20
35827934,20,20
35827935,20,20
35827936,20,20
35827937,20,20
35827938,20,20
35827939,20,20
35827940,20,20
35827941,20,20
35827942,20,20
35827943,20,20
35828030,20,20
35828031,20,20
35828032,20,20
35828355,20,20
35828356,20,20
35829453,20,20
35829454,20,20
35829863,20,20
35829864,20,20
35831537,20,20
35831538,20,20
35831539,20,20
35831802,20,20
35831803,20,20
35831884,20,20
35831885,20,20
35831886,20,20
35831887,20,20
35831888,20,20
35831889,20,20
35831890,20,20
35831891,20,20
35831892,20,20
35831893,20,20
35831894,20,20
35831895,20,20
35831896,20,20
35831897,20,20
35831898,20,20
35831899,20,20
35831900,20,20
35831901,20,20
35832161,20,20
35832162,20,20
35832163,20,20
35832164,20,20
35832165,20,20
35832166,20,20
35832167,20,20
35832168,20,20
35832169,20,20
35832170,20,20
35832174,20,20
35832175,20,20
35832176,20,20
35832177,20,20
35832178,20,20
35832179,20,20
35850875,20,20
